		任务类型	中文	印尼翻译	备注													
2	累积二人捕鱼在线xx/40分钟	5	2	10	40.0	80.0												
3	参与xx/xx次Prizepool Gratis活动	5	2	10	2.0	4.0												
4	累积使用xx/xx个道具	5	2	10	5.0	10.0												
5	用50k炮倍累积捕获xx/50条鱼	20	20	400	50.0	1,000.0	400,000	8,000,000										
6	用50k以上炮倍累积消耗xx/400M金额	20	50	1,000	400,000,000	20,000,000,000	400,000	20,000,000										
7	用50k炮倍累积捕获xx/2条BOSS鱼	10	30	300	2.0	60.0	200,000	6,000,000										
																		
第2期免费活跃度	50			单个流水任务完成所需子弹：	8000	完成全部流水任务所需子弹	400000											
第2期付费活跃度	1,700			50k炮倍单日平均流水	296,315,281.62	七天流水	2,074,206,971.34											
				50k炮倍期望日均流水	400,000,000	期望七天流水	2,800,000,000.00											
				活跃度数量	140	任务个数	7											
																		
				普通鱼平均鱼分	boss鱼平均鱼分													
目前在线时间	840	14		70	300		普通鱼活跃度数量	256	普通鱼任务数量	12.8								
人均在线时间	667	11.11111111	77.77777778	普通鱼	特殊鱼		boss鱼活跃度数量	186.6666667	boss鱼任务数量	18.66666667								
每秒发炮次数（开双倍）	12		捕鱼权重	0.8	0.2													
累积发炮数/天	8,000		每天捕鱼数量	91.42857143	5.3		总活跃度数量	582.6666667										
累积流水数/天	400,000,000	150,000,000																
七天累积流水	2,800,000,000		七天捕鱼总数	640	37.33333333													
			总捕鱼数	677.3333333														
																		
周活跃度补贴金额	4.5M	免费活跃度	50		付费活跃度	1,700				总活跃度	1,750							
																		
周活跃度	50	200	400	600	1,000	总价值												
周活跃度奖励	1M	1001*6	4M	1001*8	8M	/												
道具价值	1,000,000	3,000,000	4,000,000	4,000,000	8,000,000	20,000,000												
																		
刷新金币	1,200,000																	
																		
S1流水奖励	19,000,000		付费活跃度价值	20,000		总付费奖励	19,000,000			34,000,000								
S1补贴金额	1,000,000		2场50k以上平均人数	179,877.00		2场平均补贴	179,877,000,000											
S1总奖励	20,000,000																	
礼包价格	10,000.00		币值	9,000		礼包金币总值	90,000,000		礼包额外金币	70,000,000								
礼包总奖励	1001青铜鱼雷*6 1002白银鱼雷*2 1170冰冻卡*20 1169召唤卡*10 xxx体验卡*1 金币*77000000		3,000,000	10,000,000		礼包金币数量	77,000,000											
																		
																		
S3（系统赠送金额+鱼分金额奖励）																		
炮倍：	200,000		炮倍：	200,000		免伤		0.0010										
全部鱼的平均鱼分	80		全部特殊鱼的平均鱼分	250		流水返还比例（流水除以返还）		1,000										
价值系数	0.002		价值系数	0.008														
周常价值	32,000		特殊鱼价值	400,000														
周常任务增加鱼分	0.16		特殊鱼加的鱼分	2.00														
																		
																		
任务序号	任务内容	活跃值	任务数量	全部活跃度	单次任务数量	数量	单次任务奖励	全部奖励										
1	累积登陆第xx/xx天	5	4	20	1.0	4.0												
2	参与xx次Permainan Trisula活动（三叉戟）	5	2	10	1.0	2.0												
3	参与xx/xx次比赛	5	2	10	1.0	2.0												
4	参与xx/xx次Prizepool Gratis活动	5	1	5	3.0	3.0												
5	累积使用xx/5个道具	5	1	5	5	5.0												
6	用50k炮倍累积捕获xx/50条鱼	20	20	400	50.0	1,000.0	1,600,000	32,000,000										
7	用50k以上炮倍累积消耗xx/1.6B金额	20	50	1,000	1,600,000,000	80,000,000,000	1,600,000	80,000,000										
8	用50k炮倍累积捕获xx/3条BOSS鱼	15	20	300	3.0	60.0	1,200,000	24,000,000										
																		
																		
第一期免费活跃度	50			单个流水任务完成所需子弹：	8000	完成全部流水任务所需子弹	160000											
第一期付费活跃度	1,700			50k炮倍单日平均流水	2,027,692,425	七天流水	14,193,846,975.00											
				50k炮倍期望日均流水	2,500,000,000	期望七天流水	17,500,000,000.00											
				活跃度数量	218.75	任务个数	10.9375											
																		
				普通鱼平均鱼分	boss鱼平均鱼分													
目前在线时间	1,500	25		70	300		普通鱼活跃度数量	350	普通鱼任务数量	17.5								
人均在线时间	1,042	17.36111111	121.5277778	普通鱼	特殊鱼		boss鱼活跃度数量	437.5	boss鱼任务数量	29.16666667								
每秒发炮次数（开双倍）	12		捕鱼权重	0.7	0.3													
累积发炮数/天	12,500		每天捕鱼数量	125	12.5		总活跃度数量	1006.25										
累积流水数/天	2,500,000,000	2,027,692,425																
七天累积流水	17,500,000,000		七天捕鱼总数	875	87.5													
																		
																		
																		
																		
周活跃度补贴金额	4.5M	免费活跃度	100		付费活跃度	1,700				总活跃度	1,800							
																		
周活跃度	50	150	350	600	1,000	总价值												
周活跃度奖励	4M	8M	16M	1002*4	32M	/												
道具价值	4,000,000	8,000,000	16,000,000	20,000,000	32,000,000	80,000,000												
																		
刷新金币	4,800,000																	
																		
S3流水奖励	72,000,000		付费活跃度价值	80,000		总付费奖励	136,000,000			136,000,000								
S3补贴金额	4,000,000		3场200k以上炮倍平均人数	41,756.00		3场平均补贴	167,024,000,000											
S3总奖励	76,000,000																	
礼包价格	60,000.00		币值	9,000		礼包金币总值	540,000,000			礼包额外金币	464,000,000							
礼包总奖励	白银鱼雷*8 黄金鱼雷*1 冰冻卡*30 召唤卡*20 火影炮台体验卡3天*1 金币*450000000		40,000,000	50,000,000		礼包金币数量	450,000,000											
																		
																		
																		
S4（系统赠送金额+鱼分金额奖励）																		
炮倍：	500,000		炮倍：	500,000		免伤		0.0010										
全部鱼的平均鱼分	80		全部特殊鱼的平均鱼分	300		流水返还比例（流水除以返还）		1,000										
价值系数	0.002		价值系数	0.0050														
周常价值	80,000		特殊鱼价值	750,000														
周常任务增加鱼分	0.16		特殊鱼加的鱼分	1.50														
																		
																		
任务序号	任务内容	活跃值	任务数量	全部活跃度	单次任务数量	数量	单次任务奖励	全部奖励										
1	累积登陆第xx/xx天	5	4	20	1	4												
2	参与xx次Permainan Trisula活动	5	1	5	1	1												
3	参与xx/xx次比赛	5	1	5	1	1												
4	领取xx次Koin Gratis奖励	5	2	10	2	4												
5	参与xx/xx次Prizepool Gratis活动	5	1	5	2	2												
6	累积使用xx/xx个道具	5	1	5	5	5												
7	用500k炮倍累积捕获xx/50条鱼	20	20	400	50.0	1,000.0	4,000,000	80,000,000										
8	用500k以上炮倍累积消耗xx/4B金额	20	50	1,000	4,000,000,000	200,000,000,000	4,000,000	200,000,000										
9	用500k炮倍累积捕获xx/4条BOSS鱼	15	20	300	4.0	80.0	3,000,000	60,000,000										
																		
																		
第一期免费活跃度	50			单个流水任务完成所需子弹：	8000	完成全部流水任务所需子弹	160000											
第一期付费活跃度	1,700			500k炮倍单日平均流水	7,991,227,920	七天流水	55,938,595,440.00											
				500k炮倍期望日均流水	8,500,000,000	期望七天流水	59,500,000,000.00											
				活跃度数量	297.5	任务个数	14.875											
																		
				普通鱼平均鱼分	boss鱼平均鱼分													
目前在线时间	2,100	35		70	300		普通鱼活跃度数量	408	普通鱼任务数量	20.4								
人均在线时间	1,417	23.61111111	165.2777778	普通鱼	特殊鱼		boss鱼活跃度数量	595	boss鱼任务数量	39.66666667								
每秒发炮次数（开双倍）	12		捕鱼权重	0.6	0.4													
累积发炮数/天	17,000		每天捕鱼数量	145.7142857	22.7		总活跃度数量	1300.5										
累积流水数/天	8,500,000,000	7,991,227,920																
七天累积流水	59,500,000,000		七天捕鱼总数	1020	158.6666667													
																		
																		
周活跃度补贴金额	4.5M	免费活跃度	100		付费活跃度	1,700				总活跃度	1,800							
																		
周活跃度	50	150	350	600	1,000	总价值												
周活跃度奖励	10M	1002*4	40M	1003*1	80M	/												
道具价值	10,000,000	20,000,000	40,000,000	50,000,000	80,000,000	200,000,000		160										
																		
刷新金币	12,000,000																	
																		
S1流水奖励	180,000,000		付费活跃度价值	200,000		总付费奖励		340,000,000			340,000,000							
S1补贴金额	10,000,000		4场500K以上炮倍平均人数	32,816.00		1场平均补贴		328,160,000,000										
S1总奖励	190,000,000																	
																		
																		
																		
																		
																		
S5（系统赠送金额+鱼分金额奖励）																		
炮倍：	1,000,000		炮倍：	1,000,000		免伤		0.0010										
全部鱼的平均鱼分	50		全部特殊鱼的平均鱼分	300		流水返还比例（流水除以返还）		1,000										
价值系数	0.004		价值系数	0.005														
周常价值	200,000		特殊鱼价值	1,500,000														
周常任务增加鱼分	0.20		特殊鱼加的鱼分	1.50														
																		
																		
任务序号	任务内容	活跃值	任务数量	全部活跃度	单次任务数量	数量	单次任务奖励	全部奖励										
1	累积登陆第xx/xx天	5	4	20	1	4												
2	参与xx次Permainan Trisula活动	5	1	5	2	2												
3	参与xx/xx次比赛	5	1	5	2	2												
4	领取xx次Koin Gratis奖励	5	2	10	2	4												
5	参与xx/xx次Prizepool Gratis活动	5	1	5	2	2												
6	累积使用xx/xx个道具	5	1	5	10	10												
7	用1M炮倍累积捕获xx/75条鱼	20	20	400	50.0	1,000	10,000,000	200,000,000										
8	用1M以上炮倍累积消耗xx/10B金额	20	50	1,000	10,000,000,000	500,000,000,000	10,000,000	500,000,000										
9	用1M炮倍累积捕获xx/5条BOSS鱼	15	20	300	5.0	100	7,500,000	150,000,000										
																		
																		
第一期免费活跃度	50			单个流水任务完成所需子弹：	10000	完成全部流水任务所需子弹	200000											
第一期付费活跃度	1,700			500k炮倍单日平均流水	17,977,873,327	七天流水	125,845,113,289.00											
				500k炮倍期望日均流水	18,500,000,000	期望七天流水	129,500,000,000.00											
				活跃度数量	259	任务个数	12.95											
																		
目前在线时间	2,100	35		70	320		普通鱼活跃度数量	444	普通鱼任务数量	88.8								
人均在线时间	1,542	25.69444444	179.8611111	普通鱼	特殊鱼		boss鱼活跃度数量	485.625	boss鱼任务数量	24.28125								
每秒发炮次数（开双倍）	12		捕鱼权重	0.6	0.4													
累积发炮数/天	18,500		每天捕鱼数量	158.5714286	23.1		总活跃度数量	1188.625										
累积流水数/天	18,500,000,000	10,000																
七天累积流水	129,500,000,000		七天捕鱼总数	1110	161.875													
																		
																		
周活跃度补贴金额	4.5M	免费活跃度	50		付费活跃度	1,700				总活跃度	1,750							
																		
周活跃度	50	200	400	600	1,000	总价值												
周活跃度奖励	25M	75M	1003*2	100M	200M	/												
道具价值	25,000,000	75,000,000	100,000,000	100,000,000	200,000,000	500,000,000												
																		
刷新金币	30,000,000																	
																		
S1流水奖励	475,000,000		付费活跃度价值	500,000		总付费奖励		850,000,000			850,000,000							
S1补贴金额	25,000,000		5场用1M炮倍平均人数	12,869.00		1场平均补贴		321,725,000,000										
S1总奖励	500,000,000																	
																		
																		
																		
																		
S6（系统赠送金额+鱼分金额奖励）																		
炮倍：	10,000,000		炮倍：	10,000,000		免伤		0.0010										
全部鱼的平均鱼分	80		全部特殊鱼的平均鱼分	300		流水返还比例（流水除以返还）		1,000										
价值系数	0.002		价值系数	0.005														
周常价值	1,600,000		特殊鱼价值	15,000,000														
周常任务增加鱼分	0.16		特殊鱼加的鱼分	1.50														
																		
																		
任务序号	任务内容	活跃值	任务数量	全部活跃度	单次任务数量	数量	单次任务奖励	全部奖励		任务序号	任务内容	活跃值	任务数量	全部活跃度	单次任务数量	数量	单次任务奖励	全部奖励
1	累积登陆第xx/xx天	5	4	20	1	4				1	参与xx/xx次Permainan Trisula活动	5	1	5	3	3		
2	累积在线时长xx/60分钟	5	1	5	30	30				2	参与xx/xx次比赛	5	1	5	3	3		
3	用10M炮倍累积捕获xx/125条鱼	20	20	400	125.0	2,500	200,000,000	4,000,000,000		3	领取xx次Koin Gratis奖励	5	1	5	5	5		
4	用10M以上炮倍累积消耗xx/150B金额	15	20	300	150,000,000,000	3,000,000,000,000	150,000,000	3,000,000,000		4	参与xx次Misterius market活动	5	1	5	1	1		
5	用10M炮倍累积捕获xx/10条BOSS鱼	15	20	300	10.0	200	150,000,000	3,000,000,000		5	参与xx/xx次Prizepool Gratis活动	5	1	5	3	3		
										6	累积使用xx/xx个道具	5	1	5	5	5		
第一期免费活跃度	50			单个流水任务完成所需子弹：	15000	完成全部流水任务所需子弹	300000			7	打鱼分数上榜一次Ronde Emas的Peringkat karier	5	1	5	5	5		
第一期付费活跃度	1,000			500k炮倍单日平均流水	135,702,644,437	七天流水	949,918,511,059.00			8	累积使用xx/xx个道具	5	3	15	5	15		
				500k炮倍期望日均流水	140,000,000,000	期望七天流水	980,000,000,000.00											
				流水活跃度数量	98	任务个数	6.533333333											
																		
目前在线时间	3,120	52		70	320		普通鱼活跃度数量	134.4	普通鱼任务数量	26.88								
人均在线时间	1,167	19.44444444	136.1111111	普通鱼	特殊鱼		boss鱼活跃度数量	183.75	boss鱼任务数量	9.1875								
每秒发炮次数（开双倍）	12		捕鱼权重	0.6	0.4													
累积发炮数/天	14,000		每天捕鱼数量	120	17.5		总活跃度数量	416.15										
累积流水数/天	140,000,000,000	15,000																
七天累积流水	980,000,000,000		七天捕鱼总数	840	122.5													
																		
周活跃度补贴金额	500,000,000	免费活跃度	50		付费活跃度	1,000												
																		
周活跃度	50	200	400	600	1,000	总价值												
周活跃度奖励	500M 1003*10 1004*1 1604*1  	1.5B 1004*3  1604*3 	2B 1004*4 1005*2 1604*4 1605*2	2B 1004*4 1005*2 1604*4 1605*2	4B	/												
道具价值	500,000,000	1,500,000,000	2,000,000,000	2,000,000,000	4,000,000,000	10,000,000,000												
																		
S1流水奖励	9,500,000,000		付费活跃度价值	10,000,000		总付费奖励		10,000,000,000										
S1补贴金额	500,000,000		6场用10M炮倍平均人数	1,672.00		1场平均补贴		836,000,000,000										
S1总奖励	10,000,000,000																	
																		
																		
																		
											10,000,000,000							
																		
																		
																		
补贴金额																		
1	55,617,000,000	7,945,285,714																
2	179,877,000,000	25,696,714,286																
3	167,024,000,000	23,860,571,429																
4	328,160,000,000	46,880,000,000																
5	321,725,000,000	45,960,714,286																
6	418,000,000,000	59,714,285,714																
总计：	1,470,403,000,000	210,057,571,429																
